object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Black,13.67557144165039,124.09300231933594,5.93411922454834,27.24295097538335,5.12,,
5,bar,Dynamic,Gray,47.831138610839844,119.59666442871094,0.00026596689713187516,38.4,5.12,,
6,circle,Static,Black,47.83114242553711,110.52857208251953,,,,,6.5
7,circle,Static,Black,60.53114318847656,110.52857208251953,,,,,6.5
8,bar,Static,Black,47.83114242553711,101.46856689453125,0.0,38.4,5.12,,
9,bar,Static,Black,81.9867172241211,115.08413696289062,5.93411922454834,27.24295097538335,5.12,,
10,jar,Static,Purple,112.94227600097656,71.77095794677734,0.0,38.53310265213535,143.5419158935547,25.6,
11,bar,Static,Black,143.89785766601562,100.95527648925781,5.93411922454834,27.24295097538335,5.12,,
12,bar,Static,Black,206.85342407226562,96.45083618164062,0.0,96.0,5.12,,
13,circle,Dynamic,Green,6.506000518798828,137.64111328125,,,,,6.5
14,bar,Static,Black,128.0,167.1974334716797,0.0,256.0,5.12,,
15,User Circle,Dynamic,Red,60,133,,,,,6
